"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.54459029032979e-10,-0.126917404997823,0.164,0.214,4.0573297746383e-06,"Adrenal Gland_All_GW14","POR"
1.62928762988159e-10,0.043647275425661,0.1,0.066,4.27981274617296e-06,"Adrenal Gland_All_GW14","NDUFAF3"
5.98164086460596e-10,-0.147112381739655,0.27,0.324,1.57125742231469e-05,"Adrenal Gland_All_GW14","SULT2A1"
6.30755357708602e-10,-0.0838259804999382,0.096,0.139,1.65686817362896e-05,"Adrenal Gland_All_GW14","FADS2"
7.25761838908001e-10,0.041395086928685,0.106,0.072,1.90643119844354e-05,"Adrenal Gland_All_GW14","ATP6AP2"
8.17514821708399e-10,0.0452702084011866,0.121,0.084,2.14744793366362e-05,"Adrenal Gland_All_GW14","RAB11A"
8.23741275939576e-10,-0.0696778736777356,0.069,0.109,2.16380358363808e-05,"Adrenal Gland_All_GW14","PPIF"
1.2866729934664e-09,-0.109762155259138,0.101,0.143,3.37983261923755e-05,"Adrenal Gland_All_GW14","HMGCR"
1.4666824954868e-09,0.0408818436433921,0.102,0.069,3.85268157914473e-05,"Adrenal Gland_All_GW14","DDX3X"
1.52480071173832e-09,0.0418422698651271,0.103,0.07,4.00534650959422e-05,"Adrenal Gland_All_GW14","NUDC"
2.48575734497965e-09,0.0190216060570336,0.156,0.113,6.52958739379255e-05,"Adrenal Gland_All_GW14","SH3BGRL3"
2.9946401170862e-09,-0.208851632150735,0.346,0.379,7.86632065956204e-05,"Adrenal Gland_All_GW14","CYP11A1"
3.0209503069879e-09,0.0450640740043436,0.151,0.111,7.93543226639581e-05,"Adrenal Gland_All_GW14","CALM3"
5.8134296695007e-09,-0.0869868267142946,0.11,0.153,0.000152707170558444,"Adrenal Gland_All_GW14","BTG1"
6.64151321334352e-09,0.0533346040529402,0.156,0.116,0.000174459269088108,"Adrenal Gland_All_GW14","MOB4"
8.62672344619721e-09,-0.0698857435270807,0.071,0.107,0.000226606771484708,"Adrenal Gland_All_GW14","NUCKS1"
1.08241996186383e-08,0.0430413872426772,0.179,0.137,0.000284330075582391,"Adrenal Gland_All_GW14","NAP1L1"
1.2095334077697e-08,-0.158733111916622,0.138,0.178,0.000317720235552945,"Adrenal Gland_All_GW14","JUNB"
1.27234092699071e-08,-0.0808279224648815,0.122,0.167,0.00033421851470192,"Adrenal Gland_All_GW14","CST3"
1.85066891595906e-08,-0.0889382366396697,0.114,0.155,0.000486133710844125,"Adrenal Gland_All_GW14","RHOB"
2.56115559595083e-08,0.0330288623756309,0.166,0.126,0.000672764351944365,"Adrenal Gland_All_GW14","ATP1B3"
3.47344005420858e-08,-0.0895463870289218,0.207,0.155,0.000912403233439511,"Adrenal Gland_All_GW14","HES1"
6.07031698386266e-08,0.0326414889464808,0.124,0.091,0.00159455086532104,"Adrenal Gland_All_GW14","SGK1"
6.1993313537712e-08,-0.0557471722631938,0.067,0.101,0.00162844036000862,"Adrenal Gland_All_GW14","UBXN4"
8.19872391521755e-08,0.00439376682349712,0.161,0.121,0.00215364079804935,"Adrenal Gland_All_GW14","SOD2"
8.61002922386834e-08,-0.106590882570315,0.166,0.207,0.00226168247652573,"Adrenal Gland_All_GW14","SOAT1"
8.86089259125706e-08,0.0422041730975045,0.13,0.096,0.00232757926587141,"Adrenal Gland_All_GW14","TMEM14B"
1.34917571693265e-07,-0.0724906510821279,0.087,0.123,0.00354401477323868,"Adrenal Gland_All_GW14","CTSA"
2.34556232632075e-07,0.0274717505315133,0.155,0.118,0.00616132311877934,"Adrenal Gland_All_GW14","INHA"
3.22711256780614e-07,0.0365262392677963,0.123,0.092,0.00847697929311316,"Adrenal Gland_All_GW14","MATR3"
3.62130686808442e-07,0.0367553264509728,0.137,0.104,0.00951244888108417,"Adrenal Gland_All_GW14","ECH1"
8.36725860947731e-07,0.0364010465379206,0.143,0.11,0.021979114915375,"Adrenal Gland_All_GW14","RAB7A"
